dataset	species	model_system	comparison	feature	expected_direction	n_units	mean_difference	median_difference	bootstrap_mean_ci_low	bootstrap_mean_ci_high	n_expected_direction	p_exact_sign_two_sided	label_text	label	match	fraction_expected
GSE114059	human	patient_derived_crc_organoid	trametinib_vs_dmso	route_score	1	4	-0.214634630853827	-0.19962043887399	-0.280674350790598	-0.160424124542107	0	0.125	GSE114059 · trametinib vs dmso	GSE114059 · trametinib vs dmso	FALSE	0
GSE114059	human	patient_derived_crc_organoid	pri724_reversal_of_trametinib	route_score	-1	1	0.107591452936321	0.107591452936321	0.107591452936321	0.107591452936321	0	1	GSE114059 · pri724 reversal of trametinib	GSE114059 · pri724 reversal of trametinib	FALSE	0
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc	route_score	-1	1	-0.00834520457016913	-0.00834520457016913	-0.00834520457016913	-0.00834520457016913	1	1	GSE67186 · apc restoration shApc	GSE67186 · apc restoration shApc	TRUE	1
GSE67186	mouse	in_vivo_colon_polyp	apc_restoration_shApc_Kras	route_score	-1	1	-0.358206576175648	-0.358206576175648	-0.358206576175648	-0.358206576175648	1	1	GSE67186 · apc restoration shApc Kras	GSE67186 · apc restoration shApc Kras	TRUE	1
GSE130822	mouse	colonic_stem_cells	ascl2_ko_vs_resting_wt	route_score	-1	1	-0.459152641461007	-0.459152641461007	-0.459152641461007	-0.459152641461007	1	1	GSE130822 · ascl2 ko vs resting wt	GSE130822 · ascl2 ko vs resting wt	TRUE	1
GSE171910	human	conditional_crc_wnt_models	conditional_wnt_silencing	route_score	-1	4	-0.109045103692414	-0.167684800357614	-0.222668840876768	0.0430837973774849	3	0.625	GSE171910 · conditional wnt silencing	GSE171910 · conditional wnt silencing	FALSE	0.75
