gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
COX16	-0.685617942713343	-9.16247735227167	down	1	1	1	1	-0.688540869711546	-0.659964756285042	-0.604515189852364	1
FTX	0.682088309471713	9.08982604564565	up	1	1	1	1	0.599344099286897	0.676343323461752	0.717658788335316	1
LIPG	1.21687978657699	9.04496463994037	up	1	1	1	1	1.12787142131961	1.21929361241841	1.28063725349121	1
FKBP1A	-1.05941145299118	-9.03582154030658	down	1	1	1	1	-1.09008044336372	-1.01512230260016	-0.945461151659335	1
PITPNC1	0.973032576864601	9.01792834840272	up	1	1	1	1	0.873737486610375	0.994163002484446	1.04350003464129	1
HPGD	-1.09985175813561	-9.01787426293786	down	1	1	1	1	-1.09126357729942	-1.03254634180307	-0.955719529796364	1
ARHGEF3	1.36391379975201	8.97242030636232	up	1	1	1	1	1.27348760111383	1.32219737397995	1.40216936645128	1
EDA	-1.44729032277444	-8.95782576035342	down	1	1	1	1	-1.56480086438785	-1.30694819770761	-1.03405626486776	1
CIAO2A	-0.656123767174469	-8.95078509743422	down	1	1	1	1	-0.640427280512744	-0.618171982817337	-0.55747439211712	1
NEBL	1.00650115036249	8.92486856671992	up	1	1	1	1	0.965826820944571	1.02081465795421	1.09433436596669	1
VWA1	1.6610445726674	8.89919419350622	up	1	1	1	1	0.932558235214878	1.31550939441992	1.60025295654827	1
LINC00963	1.23477637820515	8.88149359469252	up	1	1	1	1	0.849551956859304	1.04176194993515	1.2168932360191	1
MPC2	-0.873342893083077	-8.79606857551236	down	1	1	1	1	-0.908665895582345	-0.870195719554355	-0.808173298202027	1
DHRS11	-0.873761012891747	-8.76723472917681	down	1	1	1	1	-1.0053473420681	-0.919048576641999	-0.820722260075867	1
PCNX2	0.812690397539315	8.66989049619317	up	1	1	1	1	0.78595263812947	0.826481165193247	0.881614196098446	1
PCK1	-1.92397587099669	-8.66474453745873	down	1	1	1	1	-2.02346920754157	-1.89325136393809	-1.7317566621022	1
RNF43	1.23227112231595	8.64030501799476	up	1	1	1	1	1.12819290938092	1.2140861004527	1.35385266130149	1
FZD5	-0.928991639944593	-8.63087527070473	down	1	1	1	1	-0.96686772218188	-0.890407873934072	-0.780818067323238	1
MPC1	-0.899470508794422	-8.62659383772326	down	1	1	1	1	-0.967262920838048	-0.898252023972244	-0.811409109105953	1
LRRC19	-1.19845739062046	-8.59308949629806	down	1	1	1	1	-1.17960128008043	-1.1222629191324	-0.994388894399164	1
TPT1	-0.761674707244444	-8.56017338925551	down	1	1	1	1	-0.783342329802716	-0.747335651702659	-0.709319913307855	1
HSPA1A	-0.995555348797932	-8.52666613672944	down	1	1	1	1	-0.99000670306794	-0.942278194414658	-0.850594883561264	1
NBEAL2	1.10170781204865	8.52488393407672	up	1	1	1	1	1.03099080990142	1.09991214713696	1.19688204853785	1
MARCKS	-0.863235790914522	-8.45599171611899	down	1	1	1	1	-0.956310290453131	-0.854217349670741	-0.770516684735754	1
ZG16	-2.29293558973254	-8.40329510932471	down	1	1	1	1	-2.7699545064061	-2.51556528954767	-2.05400455756187	1
