held_out_donor	scope	n_genes	effect_spearman	direction_match_fraction	donor_present_in_scope
HTA11_6310	GOB	1843	0.994664312906348	1	TRUE
HTA11_6310	TAC	1843	0.996484516656345	1	TRUE
HTA11_6310	common_GLS	1843	0.994908241751263	1	TRUE
HTA11_696	ABS	1843	0.974977758002428	0.998372219207813	TRUE
HTA11_696	GOB	1843	0.97775420307994	0.999457406402604	TRUE
HTA11_696	TAC	1843	0.98221153930388	1	TRUE
HTA11_696	common_GLS	1843	0.971848121209813	1	TRUE
HTA11_78	ABS	1843	0.988084414263355	1	TRUE
HTA11_78	GOB	1843	0.986085470573975	1	TRUE
HTA11_78	TAC	1843	0.99025172348812	1	TRUE
HTA11_78	common_GLS	1843	0.989387993013694	1	TRUE
HTA11_83	ABS	1843	0.989185981591583	1	TRUE
HTA11_83	GOB	1843	0.991267117320911	1	TRUE
HTA11_83	TAC	1843	0.994530131913921	1	TRUE
HTA11_83	common_GLS	1843	0.989754610879129	1	TRUE
HTA11_866	ABS	1843	0.990147095745217	1	TRUE
HTA11_866	GOB	1843	0.991070038149628	1	TRUE
HTA11_866	TAC	1843	0.994604658166436	1	TRUE
HTA11_866	common_GLS	1843	0.992340503918694	1	TRUE
