gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	rank_within_direction	selection_cohort	validation_used_for_selection
FABP1	-0.6395843	-0.6382067	-0.9186004295945167	-0.38728267997503285	1.0	0.000999000999000999	0.052314155	0.012651009268822122	False	True	True	0.6395843	adenoma_down	1.0	Chen discovery only	False
LGALS3	-0.629991	-0.63404036	-0.8706239506602287	-0.35502720251679426	1.0	0.000999000999000999	0.011975831	0.012651009268822122	False	True	True	0.629991	adenoma_down	2.0	Chen discovery only	False
PHGR1	-0.6200017	-0.62074095	-0.9226573079824447	-0.3288206137716771	1.0	0.000999000999000999	0.01290823	0.012651009268822122	False	True	True	0.6200017	adenoma_down	3.0	Chen discovery only	False
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1.0	0.000999000999000999	0.10194124	0.012651009268822122	False	True	True	0.6020564	adenoma_down	4.0	Chen discovery only	False
LGALS4	-0.5996236	-0.59609747	-0.871893173456192	-0.3489664018154145	1.0	0.000999000999000999	0.0062964093	0.012651009268822122	False	True	True	0.5996236	adenoma_down	5.0	Chen discovery only	False
CHP2	-0.5934963	-0.59324306	-0.7902244299650192	-0.4028789587318898	1.0	0.000999000999000999	0.09172265	0.012651009268822122	False	True	True	0.5934963	adenoma_down	6.0	Chen discovery only	False
C15orf48	-0.5671823	-0.56865966	-0.7759456112980843	-0.32528354153037076	1.0	0.000999000999000999	0.10166435	0.012651009268822122	False	True	True	0.5671823	adenoma_down	7.0	Chen discovery only	False
B2M	-0.5610498	-0.56878865	-0.9227504387497902	-0.14744492694735534	0.998	0.004	0.107361674	0.02861218424962853	False	True	True	0.5610498	adenoma_down	8.0	Chen discovery only	False
BSG	-0.54873323	-0.5418382	-0.7395636662840843	-0.37654231935739524	1.0	0.000999000999000999	0.04238669	0.012651009268822122	False	True	True	0.54873323	adenoma_down	9.0	Chen discovery only	False
DHRS11	-0.5168385	-0.5150502	-0.7160357534885406	-0.3252331122756005	1.0	0.000999000999000999	0.03144986	0.012651009268822122	False	True	True	0.5168385	adenoma_down	10.0	Chen discovery only	False
SLC9A3-OT1	-0.50931203	-0.5147121	-0.7118944317102432	-0.33282190710306175	1.0	0.000999000999000999	0.08932551	0.012651009268822122	False	True	True	0.50931203	adenoma_down	11.0	Chen discovery only	False
CA2	-0.50416976	-0.5125221	-0.6816637873649597	-0.3085517391562462	1.0	0.000999000999000999	0.06303602	0.012651009268822122	False	True	True	0.50416976	adenoma_down	12.0	Chen discovery only	False
ETHE1	-0.50222063	-0.4986599	-0.7290837660431861	-0.25952555388212206	1.0	0.000999000999000999	0.005585316	0.012651009268822122	False	True	True	0.50222063	adenoma_down	13.0	Chen discovery only	False
SRI	-0.49602288	-0.49581528	-0.6518287017941475	-0.32129451110959056	1.0	0.000999000999000999	0.07207652	0.012651009268822122	False	True	True	0.49602288	adenoma_down	14.0	Chen discovery only	False
MYL6	-0.48984164	-0.48910016	-0.7323664546012878	-0.2556069605052471	1.0	0.000999000999000999	0.03375858	0.012651009268822122	False	True	True	0.48984164	adenoma_down	15.0	Chen discovery only	False
AQP8	-0.4854524	-0.4843511	-0.6943642288446427	-0.28683115914464	1.0	0.000999000999000999	0.13634369	0.012651009268822122	False	True	True	0.4854524	adenoma_down	16.0	Chen discovery only	False
ATP5MC3	-0.48027578	-0.4884897	-0.6781591579318047	-0.2669057421386243	1.0	0.000999000999000999	0.07190369	0.012651009268822122	False	True	True	0.48027578	adenoma_down	17.0	Chen discovery only	False
FCGRT	-0.4698495	-0.47000852	-0.6973876461386681	-0.286174912750721	1.0	0.000999000999000999	0.0471677	0.012651009268822122	False	True	True	0.4698495	adenoma_down	18.0	Chen discovery only	False
MT1G	-0.4589386	-0.4603777	-0.7714878618717194	-0.15202369280159475	1.0	0.000999000999000999	0.1339314	0.012651009268822122	False	True	True	0.4589386	adenoma_down	19.0	Chen discovery only	False
TPT1	-0.45159686	-0.45288312	-0.6634527415037155	-0.2372467301785946	1.0	0.000999000999000999	0.09649395	0.012651009268822122	False	True	True	0.45159686	adenoma_down	20.0	Chen discovery only	False
ITM2C	-0.4494998	-0.44976664	-0.7399443298578262	-0.1133325941860676	0.996	0.008	0.07027922	0.04971122994652406	False	True	True	0.4494998	adenoma_down	21.0	Chen discovery only	False
TST	-0.4494184	-0.44626153	-0.6647199705243111	-0.24413873776793485	1.0	0.000999000999000999	0.03462883	0.012651009268822122	False	True	True	0.4494184	adenoma_down	22.0	Chen discovery only	False
SLC25A5	-0.43387944	-0.43589723	-0.631731453537941	-0.22058891057968158	1.0	0.000999000999000999	0.07840139	0.012651009268822122	False	True	True	0.43387944	adenoma_down	23.0	Chen discovery only	False
CAMK2N1	-0.4252074	-0.421352	-0.6327930718660355	-0.17710006684064866	0.999	0.002	0.0018604938	0.015846696449565014	False	True	True	0.4252074	adenoma_down	24.0	Chen discovery only	False
COX5A	-0.42020017	-0.4247046	-0.5989136025309563	-0.23126557767391212	1.0	0.000999000999000999	0.108259514	0.012651009268822122	False	True	True	0.42020017	adenoma_down	25.0	Chen discovery only	False
HMGCS2	-0.41705114	-0.42789128	-0.6698185250163078	-0.16185005344450476	0.999	0.002	0.190459	0.015846696449565014	False	True	True	0.41705114	adenoma_down	26.0	Chen discovery only	False
CYCS	-0.40969035	-0.40858287	-0.5621961891651154	-0.2380165606737137	1.0	0.000999000999000999	0.052710436	0.012651009268822122	False	True	True	0.40969035	adenoma_down	27.0	Chen discovery only	False
NDRG1	-0.4067776	-0.40271592	-0.5400473490357399	-0.275909511744976	1.0	0.000999000999000999	0.044160727	0.012651009268822122	False	True	True	0.4067776	adenoma_down	28.0	Chen discovery only	False
PRDX6	-0.40287	-0.40404493	-0.6281617477536201	-0.1296425685286522	0.994	0.012	0.027243879	0.06785970800469877	False	True	True	0.40287	adenoma_down	29.0	Chen discovery only	False
COX6A1	-0.4024748	-0.40270454	-0.6308930695056916	-0.18096586205065252	1.0	0.000999000999000999	0.07436094	0.012651009268822122	False	True	True	0.4024748	adenoma_down	30.0	Chen discovery only	False
HSPA1A	-0.40205288	-0.4048322	-0.5190704807639122	-0.28613399192690847	1.0	0.000999000999000999	0.08860319	0.012651009268822122	False	True	True	0.40205288	adenoma_down	31.0	Chen discovery only	False
CD9	-0.3971	-0.3981822	-0.5586507722735405	-0.23224506974220277	1.0	0.000999000999000999	0.057808194	0.012651009268822122	False	True	True	0.3971	adenoma_down	32.0	Chen discovery only	False
PKIB	-0.39364296	-0.39134625	-0.5642933428287507	-0.21448927670717244	1.0	0.000999000999000999	0.047947392	0.012651009268822122	False	True	True	0.39364296	adenoma_down	33.0	Chen discovery only	False
GUCA2A	-0.38981053	-0.385405	-0.6768209472298622	-0.0786236425861717	0.992	0.016	0.05241068	0.0843372438604724	False	True	True	0.38981053	adenoma_down	34.0	Chen discovery only	False
COX6C	-0.38665786	-0.39133513	-0.5607847899198533	-0.20310627818107607	1.0	0.000999000999000999	0.08732027	0.012651009268822122	False	True	True	0.38665786	adenoma_down	35.0	Chen discovery only	False
SCHLAP1	-0.38421074	-0.38824958	-0.656408816576004	-0.1336304225027561	0.998	0.004	0.057656765	0.02861218424962853	False	True	True	0.38421074	adenoma_down	36.0	Chen discovery only	False
